CA_code,VA_code,estimate,ASE,flag
C03A,V01C,32,13.7,*
C03B,V01C,37.3,9.1,
C03C,V01C,39.3,12.6,*
C03D,V01C,28.4,16.3,**
C03E,V01C,17.4,11.6,**
C03F,V01C,S,,
C03G,V01C,S,,
C03A,V01D,29,13.3,*
C03B,V01D,18.8,7.9,*
C03C,V01D,23,10.8,*
C03D,V01D,32.4,17.5,**
C03E,V01D,26.3,19.4,**
C03F,V01D,S,,
C03G,V01D,S,,
C03A,V01E,39,16.2,*
C03B,V01E,43.9,10.7,
C03C,V01E,37.7,11.9,*
C03D,V01E,39.2,16.3,*
C03E,V01E,56.3,21,*
C03F,V01E,78.1,21.3,
C03G,V01E,82.8,20.6,
C03A,V02A,42.9,8.2,
C03B,V02A,48.2,6.5,
C03C,V02A,61,4.7,
C03D,V02A,66.6,4.6,
C03E,V02A,71.4,5.5,
C03F,V02A,79.7,4.3,
C03G,V02A,86.5,4.3,
C03A,V02B,57.1,8.2,
C03B,V02B,51.8,6.5,
C03C,V02B,39,4.7,
C03D,V02B,33.4,4.6,
C03E,V02B,28.6,5.5,
C03F,V02B,20.3,4.3,
C03G,V02B,13.5,4.3,*
C03A,V02C,13.2,8.4,**
C03B,V02C,10,3.9,*
C03C,V02C,12.8,5.1,*
C03D,V02C,25.2,8.7,*
C03E,V02C,28.6,8.6,
C03F,V02C,29.8,10.4,*
C03G,V02C,57.7,17.9,*
C03A,V02D,26.3,10.7,*
C03B,V02D,20.7,6.6,*
C03C,V02D,19.1,6.8,*
C03D,V02D,8.9,5.4,**
C03E,V02D,5.5,4.3,**
C03F,V02D,S,,
C03G,V02D,S,,
C03A,V02E,22.4,7.7,*
C03B,V02E,25.4,6.3,
C03C,V02E,28.8,6.6,
C03D,V02E,32.6,8,
C03E,V02E,24.5,7.9,*
C03F,V02E,23.2,9.3,*
C03G,V02E,18.3,14,**
C03A,V02F,38.1,10.2,
C03B,V02F,43.9,7.9,
C03C,V02F,39.4,8.8,
C03D,V02F,33.3,8.6,
C03E,V02F,41.4,11.5,
C03F,V02F,44.9,12.2,
C03G,V02F,22.4,13.9,**
C03A,V03A,44.6,6.3,
C03B,V03A,33.7,5.7,
C03C,V03A,43.5,5.8,
C03D,V03A,49.4,5.6,
C03E,V03A,56.4,5.3,
C03F,V03A,58.2,5.4,
C03G,V03A,49.5,7.2,
C03A,V03B,79.2,5.4,
