,Title,Release.Date,Primary.Genre,Actors,acum_real
3075,"InsÃ³litos Peces Gato, Los",04/04/2014,Comedy,"Lisa Owen, Sonia Franco, Wendy Guillen, Ximena Ayala",2900211.37000007
3076,Musth,06/28/2013,Drama,"Jose Maria Torre, Juan Pablo Medina, Patricia Garza, Ricardo Palacios",1341655.45000011
3084,Relatos Salvajes,12/04/2014,Comedy,"Dario Grandinetti, Diego Gentile, Erica Rivas, German De Silva, Julieta Zylberberg, Leonardo Sbaraglia, Marcelo Pozzi, Maria Marull, Nancy Duplaa, Oscar Martinez, Osmar Nunez, Ricardo Darin, Rita Cortese",6735009.59999961
3088,Gabrielle,10/16/2014,Drama,"Alexandre Landry, Benoit Gouin, Gabrielle Marion-Rivard, Isabelle Vincent, MÃ©lissa DÃ©sormeaux-Poulin",826106.70000002
3093,"Nut Job, The",08/21/2014,Animation,"Brendan Fraser, Jeff Dunham, Katherine Heigl, Liam Neeson, Sarah Gadon, Stephen Lang, Will Arnett",34222067.55
3094,"Batman: The Dark Knight Returns, Part 2",04/05/2013,Animation,"Ariel Winter, David Selby, Mark Valley, Michael Emerson, Paget Brewster, Peter Weller",200275.0
3096,Fury,01/01/2015,Action,"Brad Pitt, Brad William Henke, Branko Tomovic, Brian William Woodward, Daniel Harland, Eugenia Kuzmina, Jason Isaacs, Jim Parrack, Jon Bernthal, Kevin Vance, Logan Lerman, Michael Pena, Scott Eastwood, Shia LaBeouf, Xavier Samuel",76817181.2599999
3097,Foxcatcher,01/16/2015,Drama,"Anthony Michael Hall, Brett Rice, Channing Tatum, Guy Boyd, Lee Perkins, Mark Ruffalo, Roger Callard, Samara Lee, Sienna Miller, Steve Carell, Tara Subkoff, Vanessa Redgrave",4674936.90000003
3098,What If,08/14/2014,Comedy,"Adam Driver, Daniel Radcliffe, Mackenzie Davis, Megan Park, Oona Chaplin, Rafe Spall, Zoe Kazan",13301745.08
3099,We Are What We Are,10/25/2013,Horror,"Ambyr Childers, Bill Sage, Kelly McGillis, Michael Parks, Odeya Rush, Wyatt Russell",415822.999999999
3100,Furious 7,04/02/2015,Action,"Dwayne Johnson, Gina Carano, Jason Statham, Jordana Brewster, Lucas Black, Michelle Rodriguez, Paul Walker, Sung Kang, Tyrese Gibson, Vin Diesel",692515706.9000009
3105,Mistaken For Strangers,01/15/2016,Documentary,,89110.00000045131
3106,All Is Lost,03/21/2014,Drama,Robert Redford,2001258.29
3107,Anina,07/03/2015,Animation,"Cesar Troncoso, Federica Lacano, Maria Mendive",383579.99999975
3109,Heaven Is For Real,06/27/2014,Drama,"Ali Tataryn, Candace Smith, Connor Corum, Darcy Fehr, Darren Felbel, Greg Kinnear, Jacob Vargas, Jon Ted Wynne, Kelly Reilly, Lane Styles, Mike Mohrhardt, Nancy Sorel",26035933.65
3110,Blended,06/25/2014,Comedy,"Adam Sandler, Alyvia Alyn Lind, Anna Colwell, Bella Thorne, Drew Barrymore, Joel McHale, Kevin Nealon, Lauren Lapkus, Susan Yeagley, Terry Crews, Wendi McLendon-Covey",155443859.6
3111,Are You Here,08/20/2015,Comedy,"Amy Poehler, Jenna Fischer, Melissa Rauch, Owen Wilson, Zach Galifianakis",306545.600000292
3112,Dracula Untold,10/02/2014,Fantasy,"Arkie Reece, Art Parkinson, Charlie Cox, Diarmaid Murtagh, Dominic Cooper, Ferdinand Kingsley, Joseph Long, Luke Evans, Noah Huntley, Ronan Vibert, Samantha Barks, Sarah Gadon, Thor Kristjansson, William Houston, Zach McGowan",175422708.21
3113,Sex Tape,08/07/2014,Comedy,"Cameron Diaz, Ellie Kemper, Giselle Eisenberg, Harrison Holzer, Jack Black, James Wilcox, Jason Segel, Kate Jurdi, Krisztina Koltai, Osmani Rodriguez, Rob Corddry, Rob Lowe, Sebastian Hedges Thomas",64157095.6600001
3114,Nebraska,02/21/2014,Drama,"Bob Odenkirk, Bruce Dern, Devin Ratray, June Squibb, Stacy Keach, Will Forte",636929.4000000011
3115,Project Almanac,03/06/2015,Action,"Allen Evangelista, Amy Landecker, Gary Grubbs, Gary Weeks, Ginny Gardner, Jonny Weston, Katie Garfield, Patrick Johnson, Sam Lerner, Sir Maejor, Sofia Black-D'Elia",19254531.0999981
3117,Deliver Us From Evil,09/12/2014,Suspense,"Ben Livingston, Chris Coy, Dorian Missick, Edgar Ramirez, Eric Bana, Jenna Gavigan, Joel McHale, Mike Houston, Olivia Munn, Rhona Fox, Sean Harris, Valentina RendÃ³n",56375350.7
3121,"House of Magic, The",05/29/2015,Animation,"Cinda Adams, Edward Asner, George Babbit, Grant George, Joey Camen, Kathleen Browers, Murry Blue",13147734.100001
3124,"Divergent Series: Insurgent, The",03/20/2015,Action,"Ashley Judd, Ben Lamb, Daniel Dae Kim, Jai Courtney, Kate Winslet, Keiynan Lonsdale, Lindsey Elizabeth, Maggie Q, Meaghan Martin, Mekhi Phifer, Miles Teller, Naomi Watts, Octavia Spencer, Shailene Woodley, Theo James, Tony Goldwyn, Zoe Kravitz",140905644.149991
3125,"Million Ways To Die In The West, A",06/12/2014,Comedy,"Allyn Rachel, Amanda Seyfried, Brett Rickaby, Catherine Shu, Charlize Theron, Christopher Lloyd, Dennis Haskins, Dylan Kenin, Evan Jones, Gilbert Gottfried, Giovanni Ribisi, Jay Patterson, Liam Neeson, Neil Patrick Harris, Preston Bailey, Ralph Garman, Rex Linn, Sarah Silverman, Seth MacFarlane, Wes Studi",14542488.93
3126,20 Feet From Stardom,11/06/2014,Documentary,,189542.6
3127,"Other Woman, The",05/01/2014,Comedy,"Alyshia Ochse, Cameron Diaz, Deborah Twiss, Don Johnson, Jian Leonardo, Kate Upton, Leslie Mann, Meki Saldana, Nicki Minaj, Nikolaj Coster-Waldau, Taylor Kinney",46823155.31000011
3128,Devil's Due,01/31/2014,Horror,"Aimee Carrero, Allison Miller, Catherine Kresge, Robert Belushi, Sam Anderson, Steffie Grote, Zach Gilford",47782937.33
3130,"Band Called Death, A",11/13/2014,Documentary,,135210.0
3131,Philomena,02/07/2014,Drama,"Anna Maxwell Martin, Charles Edwards, Charlie Murphy, Graham Curry, Judi Dench, Mare Winningham, Michelle Fairley, Ruth McCabe, Simone Lahbib, Sophie Kennedy Clark, Steve Coogan, Xavier Atkins",6510831.44
3133,"Angry Birds Movie, The",05/13/2016,Animation,"Anthony Padilla, Bill Hader, Cristela Alonzo, Danielle Brooks, Danny McBride, Geoffrey Arend, Hannibal Buress, Ian Andrew Hecox, Ike Barinholtz, Jason Sudeikis, Jillian Bell, Josh Gad, Kate McKinnon, Keegan Michael Key, Max Charles, Maya Rudolph, Peter Dinklage, Romeo Santos, Tony Hale",128623715.540001
3135,Labor Day,03/14/2014,Drama,"Alexie Gilmore, Brighid Fleming, Brooke Smith, Clark Gregg, Dylan Minnette, Gattlin Griffith, James Van Der Beek, J.K. Simmons, Josh Brolin, Kate Winslet, Lucas Hedges, Maika Monroe, Micah Fowler, Tobey Maguire, Tom Lipinski",10204438.58
3136,Her,01/31/2014,Drama,"Amy Adams, Bill Hader, Caroline Jaden Stussi, Chris Pratt, Joaquin Phoenix, Katherine Boecher, Kristen Wiig, Laura Meadows, Luka Jones, Olivia Wilde, Portia Doubleday, Rachel Ann Mullins, Rooney Mara, Sam Jaeger, Scarlett Johansson",9454426.70000001
3137,"Selfish Giant, The",08/14/2014,Drama,"Conner Chapman, Ian Burfield, Lorraine Ashbourne, Sean Gilder, Shaun Thomas",1128665.09999993
3139,"Crimen del Cacaro Gumaro, El",03/14/2014,Comedy,"Alberto Rojas, Alejandro Calva, Alfonso Zayas, Ana de la Reguera, Andres Bustamante, Carlos Corona, Carmen Salinas, Javier Lopez, JesÃºs Ochoa, Johanna Murillo, Jorge Rivero, Karla Souza, Kate del Castillo, MarÃ­a Rojo, Mario Zaragoza, Marius Biegai, MÃ³nica Huarte",62792404.8800001
3141,"Good Lie, The",10/23/2014,Drama,"Arnold Oceng, Corey Stoll, Ger Duany, Joshua Mikel, Maria Howell, Mike Pniewski, Ravi Naidu, Reese Witherspoon, Sahlima, Sarah Baker, Sharon Conley, Thad Luckinbill",1025747.9
3142,Workers (2013),08/07/2014,Drama,"BÃ¡rbara PerrÃ­n Rivemar, JesÃºs Padilla, Sergio LimÃ³n, Susana Salazar, Vera Talaia",175155.0
3146,My Old Lady,12/04/2015,Comedy,"Christian Rauth, Delphine Lanson, Dominique Pinon, Kevin Kline, Kristin Scott Thomas, Maggie Smith, StÃ©phane De Groodt, StÃ©phane Freiss",887330.7999997591
3151,Exodus: Gods and Kings,12/04/2014,Drama,"Aaron Paul, Barrie Martin, Ben Kingsley, Ben Mendelsohn, Christian Bale, Dar Salim, David Georgiou, Emun Elliott, Golshifteh Farahani, Hiam Abbass, Indira Varma, John Turturro, Maria Valverde, Sigourney Weaver",180008091.87
3154,Self/Less,07/24/2015,Science Fiction,"Ben Kingsley, Brendan McCarthy, Derek Luke, Gary Weeks, Lola Phillips, Mariana Paola Vicente, Matthew Goode, Michelle Dockery, Natalie Martinez, Ryan Reynolds, Sam Page, Sandra Ellis Lafferty, Teri Wyble, Victor Garber",3713393.34999977
3155,Alvin And The Chipmunks: Road Chip,01/01/2016,Animation,"Jason Lee, Jesse McCartney, Justin Long, Kimberly Williams-Paisley, Matthew Gray Gubler, Tom Hale",132357385.4
3156,Victor Frankenstein,11/27/2015,Suspense,"Adrian Schiller, Alistair Petrie, Andrew Scott, Bronson Webb, Callum Turner, Daniel Mays, Daniel Radcliffe, Freddie Fox, Guillaume Delaunay, James McAvoy, Jessica Brown Findlay, Louise Brealey, Mark Gatiss, Spencer Wilding, Valene Kane",86973110.4999973
3162,"Jaula de Oro, La",05/08/2014,Drama,"Brandon LÃ³pez, Carlos Chajon, HÃ©ctor Tahuite, Karen MartÃ­nez, Rodolfo DomÃ­nguez",11926416.509999901
3163,Inevitable,04/04/2014,Drama,"Antonella Costa, Carolina Pelleritti, Dario Grandinetti, Federico Luppi, Mabel Rivera",60397.95
3171,Big Eyes,03/06/2015,Drama,"Amy Adams, Christoph Waltz, Danny Huston, Emily Fonda, Heather Doerksen, James Saito, Jason Schwartzman, Jon Pulito, Krysten Ritter, Madeleine Arthur, Steven Wiig, Terence Stamp",6440123.15000084
3173,Amy,11/13/2015,Documentary,Amy Winehouse,1620468.19999964
3174,Louder Than Bombs,07/01/2016,Drama,"Amy Ryan, David Strathairn, Gabriel Byrne, Isabelle Huppert, Jesse Eisenberg, Rachel Brosnahan, Ruby Jerins",2370666.19999897
3176,Dolphin Tale 2,09/25/2014,Drama,"Amanda Powell, Ashley Judd, Austin Highsmith, Austin Stowell, Bethany Hamilton, Carlos Gomez, Cozi Zuehlsdorff, Damon Sementilli, Harry Connick Jr., Julia Jordan, Juliana Harkavy, Kris Kristofferson, Morgan Freeman, Nathan Gamble, Taylor Blackwell",8363574.38999998
3178,Miss Peregrine's Home For Peculiar Children,09/30/2016,Adventure,"Allison Janney, Asa Butterfield, Chris O'Dowd, Eva Green, Judi Dench, Kim Dickens, Rupert Everett, Samuel L. Jackson, Terence Stamp",193494992.370004
3179,Independence Day: Resurgence,06/23/2016,Science Fiction,"Bill Pullman, Brent Spiner, Charlotte Gainsbourg, Jeff Goldblum, Jessie Usher, Joey King, Judd Hirsch, Liam Hemsworth, Maika Monroe, Sela Ward, Vivica A. Fox, William Fichtner",245769418.360005
3181,Qu'est ce qu'on a fait au Bon Dieu?!,03/06/2015,Comedy,"Ary Abittan, Chantal Lauby, Christian Clavier, Elodie Fontan, Emilie Caen, FrÃ©dÃ©ric Chau, FrÃ©dÃ©rique Bel, Julia Piaton, Medi Sadoun, Noom Diawara, Pascal Nzonzi, Salimata Kamate, Tatiana Rojo",14089321.4000012
3182,Fifty Shades Of Grey,02/12/2015,Drama,"Anthony Konechny, Callum Keith Rennie, Dakota Johnson, Dylan Neal, Eloise Mumford, Emily Fonda, Jamie Dornan, Jennifer Ehle, Luke Grimes, Marcia Gay Harden, Max Martini, Rachel Skarsten, Rita Ora, Victor Rasuk",200139375.52
3183,Suite Francaise,12/04/2015,Drama,"Alexandra Maria Lara, Heino Ferch, Kristin Scott Thomas, Lambert Wilson, Margot Robbie, Matthias Schoenaerts, Michelle Williams, Ruth Wilson, Sam Riley, Tom Schilling",5304078.34999895
3187,Who is Dayani Cristal?,04/17/2014,Documentary,Gael Garcia Bernal,639426.299999999
3188,Elsa & Fred,10/30/2014,Comedy,"Chris Noth, Christopher Plummer, James Brolin, Jared Gilman, Marcia Gay Harden, Scott Bakula, Shirley MacLaine, Wendell Pierce",3435086.22
3189,Blue Ruin,08/14/2015,Suspense,"Amy Hargreaves, Ben Gaffney, Devin Ratray, Eve Plumb, Kevin Kolack, Macon Blair",170884.00000002302
3193,Terminator Genisys,07/02/2015,Action,"Arnold Schwarzenegger, Byung-hun Lee, Dayo Okeniyi, Douglas Smith, Emilia Clarke, Jai Courtney, Jason Clarke, J.K. Simmons, Matt Smith, Michael Gladis, Sandrine Holt",160635016.91999298
3198,[REC] 4: Apocalipsis,11/27/2014,Horror,"Hector Colome, Manuela Velasco, Paco Manzanedo",13193510.4599999
3200,Unbroken,01/29/2015,Drama,"Alex Russell, C.J. Valleroy, Domhnall Gleeson, Finn Wittrock, Garrett Hedlund, Jack O'Connell, Jai Courtney, John D'Leo, John Magaro, Luke Treadaway, Maddalena Ischiale, Morgan Griffin, Spencer Lofranco",27496857.6000008
3201,Spectre,11/06/2015,Suspense,"Alessandro Cremona, Andrew Scott, Ben Whishaw, Christoph Waltz, Daniel Craig, Dave Bautista, Jesper Christensen, Lea Seydoux, Monica Bellucci, Naomie Harris, Ralph Fiennes, Rory Kinnear, Stephanie Sigman, Wilhelm Iben",192202819.919997
3202,Gone Girl,10/02/2014,Suspense,"Ben Affleck, Carrie Coon, David Clennon, Emily Ratajkowski, Kim Dickens, Neil Patrick Harris, Patrick Fugit, Rosamund Pike, Tyler Perry",45474918.3
3203,Jackass Presents: Bad Grandpa,11/29/2013,Comedy,"Bam Margera, Chris Pontius, Ehren McGhehey, Jason 'Wee Man' Acuna, Johnny Knoxville, Steve-O",41435591.06
3207,Inferno,10/14/2016,Drama,"Ben Foster, Felicity Jones, Irrfan Khan, Omar Sy, Sidse Babett Knudsen, Tom Hanks",119857348.00000301
3208,"Legend Of Hercules, The",02/07/2014,Action,"Gaia Weiss, Johnathon Schaech, Jukka Hilden, Kellan Lutz, Kenneth Cranham, Liam Garrigan, Liam McIntyre, Luke Newberry, Mariah Gale, Rade Serbedzija, Roxanne McKee, Sarai Givaty, Scott Adkins, Spencer Wilding",24865660.03
3212,Neighbors,07/03/2014,Comedy,"Ali Cobrin, Andy Samberg, Carla Gallo, Cassandra Starr, Chasty Ballesteros, Christopher Mintz-Plasse, Craig Roberts, Dave Franco, Halston Sage, Ike Barinholtz, Jake Johnson, Jesse Heiman, Lisa Kudrow, Rose Byrne, Seth Rogen, Zac Efron",62545093.33
3214,Enough Said,11/01/2013,Comedy,"Ben Falcone, Catherine Keener, Chris Smith, Eve Hewson, James Gandolfini, Julia Louis-Dreyfus, Kathleen Rose Perkins, Tavi Gevinson, Toni Collette, Tracey Fairaway",5667316.59999999
3216,"Judge, The",10/23/2014,Drama,"Balthazar Getty, Billy Bob Thornton, David Krumholtz, Dax Shepard, Emma Tremblay, Ian Nelson, Jeremy Strong, Ken Howard, Leighton Meester, Robert Downey  Jr., Robert Duvall, Sarah Lancaster, Vera Farmiga, Vincent D'Onofrio",46380741.0500001
3218,"SpongeBob Movie: Sponge Out Of Water,The",01/29/2015,Animation,"Antonio Banderas, Clancy Brown, Thomas F. Wilson, Tom Kenny",230841782.71
3221,Paranormal Activity: The Ghost Dimension,10/23/2015,Horror,"Brit Shaw, Chloe Csengery, Chris J. Murray, Dan Gill, Ivy George, Jessica Tyler Brown",85238195.19999659
3222,Atrapa la Bandera,03/24/2016,Animation,"Carme Calvell, Dani Rovira, Javier Balas, Michelle Jenner",14108552.9999977
3227,Winter's Tale,02/14/2014,Drama,"Beth Katehis, Colin Farrell, Eva Marie Saint, Finn Wittrock, Graham Greene, Jennifer Connelly, Jessica Brown Findlay, Kevin Corrigan, Lucy Griffiths, Matt Bomer, Rob Campbell, Russell Crowe, William Hurt, Will Smith",10766456.77
3228,Vi Ã¤r bÃ¤st!,03/21/2014,Drama,"Alexander Karlsson, David Dencik, Liv LeMoyne, Mira Barkhammar, Mira Grosin",547305.799999893
3230,Chappie,03/13/2015,Science Fiction,"Anri Du Toit, Brandon Auret, Dev Patel, Die Antwoord, Eugene Khumbanyiwa, Hugh Jackman, Robert Hobbs, Sean O. Roberts, Sharlto Copley, Sigourney Weaver, Watkin Tudor Jones Jr.",42696112.4999988
3231,Horns,12/18/2014,Drama,"Daniel Radcliffe, David Morse, Heather Graham, James Remar, Joe Anderson, Juno Temple, Kathleen Quinlan, Kelli Garner, Max Minghella",7729001.91000011
3236,Batman V Superman: Dawn Of Justice,03/24/2016,Action,"Adam Driver, Amy Adams, Ben Affleck, Callan Mulvey, Diane Lane, Ezra Miller, Gal Gadot, Henry Cavill, Holly Hunter, Jason Momoa, Jeffrey Dean Morgan, Jeremy Irons, Jesse Eisenberg, Laurence Fishburne, Michael Cassidy, Michael Shannon, Russell Crowe, Scoot McNairy, Tao Okamoto",528643088.699994
3239,"Cama, La",08/30/2013,Comedy,"Carlos Ceja, Christian Cataldi, Esperanza Diaz, Gabriela Canudas, Liz Gallardo, Rebecca Jones",71727.0000000001
3240,Stockholm,06/05/2015,Drama,"Aura Garrido, Javier Pereira, JesÃºs Caba, Lorena Mateo, Susana Abaitua",1068925.89999953
3241,"Rencontres d'apres Minuit, Les",04/01/2016,Drama,"Alain-Fabien Delon, BÃ©atrice Dalle, Dominique Bettenfeld, Eric Cantona, Fabienne Babe, FrÃ©dÃ©ric Bayer Azem, Jean-Christophe Bouvet, Julie Bremond, Kate Moran, Louis-Orfeo Marin, Nicolas Maury, Niels Schneider, Pierre-Vincent Chapus",10670.000000063399
3242,Carol,02/12/2016,Drama,"Cate Blanchett, Cory Michael Smith, Jake Lacy, Kyle Chandler, Rooney Mara, Sarah Paulson",6313366.99999866
3244,Justice League: The Flashpoint Paradox,08/30/2013,Animation,"Cary Elwes, C. Thomas Howell, Dana Delany, Danny Huston, Danny Jacobs, Dee Bradley Baker, Grey DeLisle, Jennifer Hale, Justin Chambers, Kevin Conroy, Kevin McKidd, Michael B. Jordan, Nathan Fillion, Sam Daly, Steve Blum",92770.00000000019
3246,ë«¼ë¹ì°ì¤ (Moebius),05/29/2015,Drama,"Jeon Mi-Seon, Moon Jung-Hee, Son Hyeon-ju",127705.000000054
3248,Walesa. Czlowiek z nadziei,10/02/2014,Drama,"Agnieszka Grochowska, Cezary Kosinski, Ewa Kolasinska, Iwona Bielska, Maciej Konopinski, Maciej Marczewski, Marcin Hycnar, Maria Rosaria Omaggio, Michal Czernecki, Miroslaw Baka, Piotr Probosz, Remigiusz Jankowski, Robert WiÄckiewicz, Wojciech Kalarus, Zbigniew Zamachowski",56540.0
3249,"Secreto de Lucia, El",05/09/2014,Drama,"Adrian Navarro, Carlos Belloso, Emilia Attias, Martin Espindola, Roberto Carnaghi, Tomas Pozzi, Turco Naim",20484.0
3251,Tom a la ferme,07/31/2014,Drama,"Anne Caron, Evelyne Brochu, Jacques Lavallee, Lise Roy, Manuel Tadros, Olivier Morin, Pierre-Yves Cardinal, Xavier Dolan",1352798.3000003
3252,Addicted,05/15/2015,Drama,"Andrew R. Kaplan, Boris Kodjoe, Brandon Gonzales, Cameron Mills, Emayatzy E. Corinealdi, Garrett Hines, Hunter Burke, Kat Graham, Maria Howell, Sharon Leal, Tasha Smith, Tyson Beckford, William Levy",87780.4999999882
3257,"Giver, The",09/25/2014,Science Fiction,"Alexander Skarsgard, Brenton Thwaites, Cameron Monaghan, Jeff Bridges, Meryl Streep, Taylor Swift",16450510.29
3258,Apasionado Pancho Villa,10/23/2015,Drama,"Alejandro Navarrete, Diana Bracho, Dominika Paleta, Gabriela Canudas, JoaquÃ­n Cosio, Juan Ignacio Aranda, Leticia Fabian, RocÃ­o Verdejo, Samuel Gallegos, Teresa Ruiz, Ximena Ayala",431659.00000057
3261,Shaun the Sheep,09/03/2015,Animation,"John Sparkes, Justin Fletcher, Kate Harbour, Omid Djalili, Richard Webber",12243760.050095698
3263,Into The Storm,09/04/2014,Action,"Alycia Debnam Carey, Arlen Escarpeta, Jeremy Sumpter, Jon Reep, Kim Adams, Kyle Davis, London Elise Moore, Matt Walsh, Max Deacon, Michael Ellison, Nathan Kress, Richard Armitage, Sarah Wayne Callies, Scott Lawrence, Stephanie Koenig",135815324.03
3264,Son Of God,04/10/2014,Drama,"Adrian Schiller, Amber Rose Revah, Andrew Brooke, Andrew Scarborough, Darwin Shaw, Diogo Morgado, Francis Magee, Fraser Ayres, Greg Hicks, Joe Wredden, Keith David, Louise Delamere, Matthew Gravelle, Mohamen Mehdi Ouazanni, Noureddine Aberdine, Paul Brightwell, Paul Freeman, Roma  Downey, Sebastian Knapp, Simon Kunz",39553673.8600001
3266,She's Funny That Way,08/20/2015,Comedy,"Ahna O'Reilly, Austin Pendleton, Cybill Shepherd, Desira Pesta, George Morfogen, Imogen Poots, Jake Hoffman, Jennifer Aniston, Joanna Lumley, John Robinson, Kathryn Hahn, Lucy Punch, Owen Wilson, Rhys Ifans, Richard Lewis, Tatum O'Neal, Will Forte",7378308.00000116
3267,Horrible Bosses 2,11/27/2014,Comedy,"Alyssa Preston, Brendan Hunter, Brianne Howey, Charlie Day, Chris Pine, Christoph Waltz, Jason Bateman, Jason Sudeikis, Jennifer Aniston, Keeley Hazell, Kelly Stables, Kevin Spacey, Suzy Nakamura",29025728.5
3269,Mosca,09/27/2013,Documentary,,34525.0
3271,"Returned, The",10/30/2014,Horror,"Barry Flatman, Brian Mifsud, Claudia Bassols, Emily Alatalo, Emily Hampshire, Jamie Lyle, Kris Holden-Ried, Mark Schardan, Melina Matthews, Paul Anthony, Paulino Nunes, Phil Guerrero, Romy Weltman, Shawn Doyle, Stephen Chambers",3079626.72000015
3272,Warcraft,06/16/2016,Action,"Ben Foster, Ben Schnetzer, Callan Mulvey, Callum Keith Rennie, Clancy Brown, Daniel Cudmore, Daniel Wu, Dan Payne, Dean Redman, Dominic Cooper, Paula Patton, Robert Kazinsky, Ruth Negga, Ryan Robbins, Toby Kebbell, Travis Fimmel",96871115.3000013
3273,Ted 2,08/27/2015,Comedy,"Amanda Seyfried, Becki Dennis, Dennis Haysbert, Jessica Barth, Liam Neeson, Maggie Geha, Mark Wahlberg, Martin Klebba, Michael Dorn, Morgan Freeman, Nicolet Scaletta, Patrick Warburton, Richard Schiff, Sam J. Jones, Seth MacFarlane, William Xifaras",65025550.04999661
3275,"Edificio, El",10/25/2013,Horror,"Alejandra Ambrosi, Alejandro Cuetara, Jose Sefami, Juan Carlos Bonet, Shaula Vega",769745.999999998
3277,"Fault In Our Stars, The",06/05/2014,Drama,"Ansel Elgort, Debbie Hartner, Emily Peachey, Laura Dern, Lotte Verbeek, Mike Birbiglia, Milica Govich, Nat Wolff, Sam Trammell, Shailene Woodley, Sophie Guest, Willem Dafoe",187580292.23
3280,Plot for Peace,08/14/2015,Documentary,,81000.0000001045
3282,"Grand Budapest Hotel, The",04/24/2014,Comedy,"Adrien Brody, Bill Murray, Bob Balaban, Edward Norton, Florian Lukas, F. Murray Abraham, Harvey Keitel, Jason Schwartzman, Jeff Goldblum, Jude Law, Karl Markovics, Lea Seydoux, Mathieu Amalric, Matthias Matschke, Milton Welsh, Owen Wilson, Ralph Fiennes, Saoirse Ronan, Tilda Swinton, Tom Wilkinson, Willem Dafoe",24394314.72
3285,Justin Bieber's Believe,01/24/2014,Documentary,"Chris 'Ludacris' Bridges, Justin Bieber, Mike Posner, Scooter Braun, Usher Raymond",6022446.56
3287,Malaventura,10/18/2013,Drama,"Alejandra Resendis, El Pajarito, Enrique Arias, Francisco Jimenez, Genaro Rangel, Graciela Castillo, Guadalupe Nava Nova, Isaac Lopez, Jose Luis Martinez, Manuel Valderama, Payaso Clavito, Raul Montelongo, Raul Solorzano, Ricardo De la Vega, Urbano Cruz",61022.999999999905
3288,"Interview, The",02/06/2015,Comedy,"Anders Holm, Anesha Bailey, Charles Rahi Chun, Diana Bang, Dominique Lalonde, Geoff Gustafson, James Franco, Lizzy Caplan, Randall Park, Seth Rogen, Timothy Simons",1858494.15000049
3289,Pelo Malo,11/06/2014,Drama,"Beto Benites, Maria Emilia SulbarÃ¡n, Nelly Ramos, Samantha Castillo, Samuel Lange Zambrano",109648.0
3291,Is the Man Who Is Tall Happy?,08/07/2015,Documentary,,216529.99999999398
3294,St. Vincent,12/25/2014,Comedy,"Alexandra Fong, Alyssa Ruland, Bill Murray, Chris O'Dowd, Jaeden Lieberher, James Andrew O'Connor, Katharina Damm, Kimberly Quinn, Melissa McCarthy, Naomi Watts, Nate Corddry, Scott Adsit, Terrence Howard",12134919.5
3298,"Woman in Black: Angel of Death, The",01/22/2015,Horror,"Adrian Rawlins, Amelia Pidgeon, Claire Rafferty, Helen McCrory, Jeremy Irvine, Jorge Leon Martinez, Leanne Best, Leilah de Meza, Ned Dennehy, Oaklee Pendergast, Phoebe Fox, Richard Banks",71683749.1499998
3299,Jersey Boys,07/17/2014,Drama,"Christopher Walken, Erica Piccininni, Erich Bergen, Jeremy Luke, Joey Russo, John Cannizzaro, John Lloyd Young, Kathrine Narducci, Lou Volpe, Michael Lomenda, Mike Doyle, Steven R. Schirripa, Vincent Piazza",6632092.29000006
3301,Ocho Apellidos Vascos,07/03/2014,Comedy,"Aitor Mazo, Alberto Lopez, Alfonso Sanchez, Carmen Machi, Clara Lago, Dani Rovira, Karra Elejalde, Lander Otaola",2491345.03
3303,Spy,06/05/2015,Comedy,"Alicia Vela-Bailey, Allison Janney, Bobby Cannavale, Carlos Ponce, Curtis '50 Cent' Jackson, Jason Statham, Jessica Chaffin, Jude Law, Melissa McCarthy, Miranda Hart, Morena Baccarin, Nargis Fakhri, Peter Serafinowicz, Rose Byrne, Will Yun Lee, Zach Woods",61287391.24999921
3304,Solace,01/01/2016,Suspense,"Abbie Cornish, Anthony Hopkins, Colin Farrell, Janine Turner, Jeffrey Dean Morgan, Kenny Johnson, Sharon Lawrence, Xander Berkeley",51546641.7000029
3305,Mission: Impossible Rogue Nation,07/30/2015,Action,"Alec Baldwin, America Olivo, Jeremy Renner, Lasco Atkins, Nicolet Scaletta, Paula Patton, Rebecca Ferguson, Sean Harris, Simon McBurney, Simon Pegg, Tom Cruise, Ving Rhames, Zhang Jingchu",188319610.849999
3307,Passengers,12/25/2016,Drama,"Andy Garcia, Chris Pratt, Jennifer Lawrence, Laurence Fishburne, Michael Sheen",141183320.499999
3308,Insidious Chapter 3,06/26/2015,Horror,"Angus Sampson, Dermot Mulroney, Leigh Whannell, Lin Shaye, Stefanie Scott",73352015.05000171
3309,"Purge: Anarchy, The",07/31/2014,Horror,"Carmen Ejogo, Frank Grillo, Kiele Sanchez, Michael K. Williams, Zach Gilford, Zoe Borde",17041270.01
3310,Mad Max: Fury Road,05/15/2015,Action,"Abbey Lee Kershaw, Angus Sampson, Charlize Theron, Courtney Eaton, Hugh Keays-Byrne, Jennifer Hagan, Joshua Helman, Megan Gale, Nathan Jones, Nicholas Hoult, Richard Norton, Riley Keough, Rosie Huntington-Whiteley, Tom Hardy, Zoe Kravitz",121613482.250002
3314,In The Heart Of The Sea,12/04/2015,Action,"Benjamin Walker, Ben Whishaw, Brendan Gleeson, Charlotte Riley, Chris Hemsworth, Cillian Murphy, Donald Sumpter, Frank Dillane, Hayley Joanne Bacon, Jamie Sives, Jordi Molla, Osy Ikhile, Sam Keeley, Tom Holland",108085021.520003
