,Title,Release.Date,Primary.Genre,Actors,acum_real
151,Star Wars: Ep. III- Revenge Of The Sith,05/19/2005,Adventure,"Anthony Daniels, Christopher Lee, Ewan McGregor, Hayden Christensen, Ian McDiarmid, Jimmy Smits, Natalie Portman, Peter Mayhew, Samuel L. Jackson",149721023.000004
152,Walk The Line,02/03/2006,Drama,"Ginnifer Goodwin, Joaquin Phoenix, Lucas Till, Reese Witherspoon, Robert Patrick, Shelby Lynne",8194204.0
153,Harry Potter And The Goblet Of Fire,11/18/2005,Adventure,"Alan Rickman, Bonnie Wright, Brendan Gleeson, ClÃ©mence PoÃ©sy, Daniel Radcliffe, David Bradley, Devon Murray, Emma Watson, Frances de la Tour, Gary Oldman, James Phelps, Jason Isaacs, Maggie Smith, Mark Williams, Matthew Lewis, Michael Gambon, Miranda Richardson, Oliver Phelps, Ralph Fiennes, Robbie Coltrane, Robert Pattinson, Rupert Grint, Timothy Spall, Tom Felton, Warwick Davis",225518383.0
165,"Constant Gardener, The",10/14/2005,Suspense,"Bill Nighy, Danny Huston, Hubert Kounde, Pernilla August, Rachel Weisz, Ralph Fiennes",6832025.99999999
167,Kinsey,04/01/2005,Drama,"Chris O'Donnell, Dylan Baker, Heather Goldenhersh, John Lithgow, John McMartin, Julianne Nicholson, Laura Linney, Liam Neeson, Lynn Redgrave, Oliver Platt, Peter Sarsgaard, Tim Curry, Timothy Hutton, Veronica Cartwright, William Sadler",5032935.00000196
170,Tarnation,05/05/2006,Documentary,,182299.0
171,Syriana,02/17/2006,Drama,"Amanda Peet, Chris Cooper, Christopher Plummer, George Clooney, Mark Strong, Matt Damon, Tim Blake Nelson",6696112.0
172,American Gangster,02/01/2008,Drama,"Carla Gugino, Chiwetel Ejiofor, Denzel Washington, Eddie Rouse, Idris Elba, John Ortiz, Josh Brolin, Norman Reedus, Ritchie Coster, Robert 'The RZA' Diggs, Russell Crowe, Ted Levine, Tip ""T.I."" Harris, Yul Vazquez",35298517.999999896
174,"Producers, The",03/24/2006,Musical,"Andrea Martin, Debra Monk, Gary Beach, Jon Lovitz, Matthew Broderick, Michael McKean, Nathan Lane, Roger Bart, Uma Thurman, Will Ferrell",1030293.0
178,íê·¹ê¸°ë¥¼ íë ë¦¬ë©° (Tae-guk-ki-reul Hwi-nal-ri-myeo),07/08/2005,Action,"Bin Won, Don Kun Jang, Eun-Joo Lee",750984.0
182,Adventures of Shark Boy & Lava Girl - 3D,07/15/2005,Adventure,"David Arquette, George Lopez, Kristin Davis, Taylor Dooley, Taylor Lautner",33931517.0
184,Team America: World Police,02/11/2005,Animation,"Elle Russ, Matt Stone, Paul Lewis, Stanley G. Sawicki, Trey Parker",1603649.00000064
187,"Legend Of Zorro, The",10/28/2005,Adventure,"Alberto Reyes, Antonio Banderas, Catherine Zeta-Jones, Julio Mechoso, Nick Chinlund, Rufus Sewell",55667620.0
188,"Cave, The",11/25/2005,Horror,"Cole Hauser, Eddie Cibrian, Lena Headey, Marcel Iures, Morris Chestnut, Piper Perabo, Rick Ravanello",33778807.0
189,Deuce Bigalow: European Gigolo,09/16/2005,Comedy,"Adam Sandler, Bobbi Sue Luther, Eddie Griffin, Rob Schneider",34731918.0
190,Guess Who,04/22/2005,Comedy,"Andy Morrow, Ashton Kutcher, Bernie Mac, Jessica Cauffiel, Kellee Stewart, Niecy Nash, Richard T. Jones, Robert Hoffman, Zoe Saldana",28492447.9999985
195,Melinda And Melinda,05/27/2005,Comedy,"Amanda Peet, Chiwetel Ejiofor, ChloÃ« Sevigny, Radha Mitchell, Steve Carell, Vinessa Shaw, Wallace Shawn, Will Ferrell",2137797.99999987
